"青沥备开(矫焙备)喊/1技喊 林刮殿废牢备"

"C青沥备开(矫焙备)喊","青沥备开(矫焙备)喊","C楷飞喊","楷飞喊","矫痢","醚牢备荐 (疙)","巢磊牢备荐 (疙)","咯磊牢备荐 (疙)"
'00,"傈惫",'000,"拌",2025,51117378.0000,25436665.0000,25680713.0000
'00,"傈惫",'0401,"0技",2025,252212.0000,129588.0000,122624.0000
'00,"傈惫",'0402,"1技",2025,243765.0000,124790.0000,118975.0000
'00,"傈惫",'0403,"2技",2025,235297.0000,120453.0000,114844.0000
'00,"傈惫",'0404,"3技",2025,255233.0000,130446.0000,124787.0000
'00,"傈惫",'0405,"4技",2025,267994.0000,137337.0000,130657.0000
'00,"傈惫",'0501,"5技",2025,280450.0000,143433.0000,137017.0000
'00,"傈惫",'0502,"6技",2025,310444.0000,159383.0000,151061.0000
'00,"傈惫",'0503,"7技",2025,334444.0000,171503.0000,162941.0000
'00,"傈惫",'0504,"8技",2025,365325.0000,187972.0000,177353.0000
'00,"傈惫",'0505,"9技",2025,414059.0000,211765.0000,202294.0000
'00,"傈惫",'0701,"10技",2025,445457.0000,228208.0000,217249.0000
'00,"傈惫",'0702,"11技",2025,441512.0000,226064.0000,215448.0000
'00,"傈惫",'0703,"12技",2025,442131.0000,226388.0000,215743.0000
'00,"傈惫",'0704,"13技",2025,490313.0000,251455.0000,238858.0000
'00,"傈惫",'0705,"14技",2025,476544.0000,244355.0000,232189.0000
'00,"傈惫",'1001,"15技",2025,473708.0000,244010.0000,229698.0000
'00,"傈惫",'1002,"16技",2025,447924.0000,230358.0000,217566.0000
'00,"傈惫",'1003,"17技",2025,468145.0000,240467.0000,227678.0000
'00,"傈惫",'1004,"18技",2025,494672.0000,253736.0000,240936.0000
'00,"傈惫",'1005,"19技",2025,447937.0000,230802.0000,217135.0000
'00,"傈惫",'1201,"20技",2025,434325.0000,224127.0000,210198.0000
'00,"傈惫",'1202,"21技",2025,471552.0000,243613.0000,227939.0000
'00,"傈惫",'1203,"22技",2025,490790.0000,254034.0000,236756.0000
'00,"傈惫",'1204,"23技",2025,491854.0000,256065.0000,235789.0000
'00,"傈惫",'1205,"24技",2025,556150.0000,288559.0000,267591.0000
'00,"傈惫",'1301,"25技",2025,635753.0000,330974.0000,304779.0000
'00,"傈惫",'1302,"26技",2025,616481.0000,320399.0000,296082.0000
'00,"傈惫",'1303,"27技",2025,636192.0000,331289.0000,304903.0000
'00,"傈惫",'1304,"28技",2025,667594.0000,344671.0000,322923.0000
'00,"傈惫",'1305,"29技",2025,681551.0000,356797.0000,324754.0000
'00,"傈惫",'1501,"30技",2025,704378.0000,371166.0000,333212.0000
'00,"傈惫",'1502,"31技",2025,710144.0000,376627.0000,333517.0000
'00,"傈惫",'1503,"32技",2025,707175.0000,374687.0000,332488.0000
'00,"傈惫",'1504,"33技",2025,722161.0000,379379.0000,342782.0000
'00,"傈惫",'1505,"34技",2025,699697.0000,365136.0000,334561.0000
'00,"傈惫",'1601,"35技",2025,638635.0000,337354.0000,301281.0000
'00,"傈惫",'1602,"36技",2025,629083.0000,326138.0000,302945.0000
'00,"傈惫",'1603,"37技",2025,624003.0000,324782.0000,299221.0000
'00,"傈惫",'1604,"38技",2025,615866.0000,314203.0000,301663.0000
'00,"傈惫",'1605,"39技",2025,625315.0000,323337.0000,301978.0000
'00,"傈惫",'1801,"40技",2025,649453.0000,332912.0000,316541.0000
'00,"傈惫",'1802,"41技",2025,658085.0000,336319.0000,321766.0000
'00,"傈惫",'1803,"42技",2025,742966.0000,378819.0000,364147.0000
'00,"傈惫",'1804,"43技",2025,815726.0000,414870.0000,400856.0000
'00,"傈惫",'1805,"44技",2025,832650.0000,424748.0000,407902.0000
